ID,Año_prod,T/C,Temporada,Capitulo,Destino,Fec_Estreno,Dia,Mes,Año,Dia_Sem,Estreno_RR,Franja,H_ini,H_fin,Dur,Tandas,RH_C13,SH_C13,RC_C13,SC_C13,RH_TVN,SH_TVN,RC_TVN,SC_TVN,RH_MEGA,SH_MEGA,RC_MEGA,SC_MEGA,RH_CHV,SH_CHV,RC_CHV,SC_CHV,RH_TVPAGO,SH_TVPAGO,RC_TVPAGO,SC_TVPAGO,RH_ENC,SH_ENC,RC_ENC,SC_ENC,PosH_C13,PosC_C13,Comentario,Region,Zona,Fecha
46,2015.0,36,3,6.0,La Ligua – Pichicuy (quinta),16-5-2015,16,5,2015,6,Estreno,Off Prime PM,14:30,15:50,1:20:00,3,7.3,18.8,2.8,18.2,3.0,7.7,1.1,7.0,4.8,12.4,1.7,11.2,5.6,14.3,1.7,11.3,19.3,49.6,7.7,49.4,38.9,100,15.5,100,1,1,,Valparaíso,Centro,2015-05-16
47,2015.0,37,3,7.0,Fiesta Caguach,23-5-2015,23,5,2015,6,Estreno,Off Prime PM,14:30,15:46,1:16:00,3,6.4,14.4,1.2,7.4,2.0,4.6,0.3,1.7,6.4,14.6,2.5,15.3,6.8,15.5,2.3,14.1,22.8,51.8,8.3,50.8,44.0,100,16.3,100,2,3,,Los Lagos,Sur,2015-05-23
48,2015.0,38,3,8.0,Lo Valledor,30-5-2015,30,5,2015,6,Estreno,Off Prime PM,14:31,15:48,1:17:00,3,7.7,16.8,2.2,12.9,3.2,6.8,0.3,1.5,4.6,10.0,1.3,7.7,5.8,12.5,1.8,10.4,24.7,53.6,10.5,61.4,46.1,100,17.1,100,1,1,,Metropolitana,Centro,2015-05-30
49,2015.0,39,3,9.0,Valle del Elqui 2015,6-6-2015,6,6,2015,6,Estreno,Off Prime PM,14:37,15:50,1:13:00,3,7.7,15.7,1.9,9.9,2.5,5.0,0.5,2.5,12.2,24.7,3.2,17.0,4.1,8.3,1.2,6.1,25.4,51.7,11.1,58.8,49.2,100,18.8,100,2,2,,Coquimbo,Norte,2015-06-06
50,2015.0,310,3,10.0,Cachapoal (Zúñiga),13-6-2015,13,6,2015,6,Estreno,Prime,22:01,23:07,1:06:00,2,12.4,19.0,6.6,21.6,4.6,7.0,1.7,5.5,14.8,22.7,4.4,14.3,11.4,17.4,3.9,12.7,25.8,39.7,11.3,37.1,65.1,100,30.6,100,2,1,,O'Higgins,Centro,2015-06-13
51,2015.0,311,3,11.0,Puerto Cisnes,20-6-2015,20,6,2015,6,Estreno,Prime,22:01,23:01,1:00:00,1,11.9,19.4,5.1,17.6,5.1,8.3,1.6,5.6,14.4,23.3,4.7,16.1,10.9,17.6,4.1,14.2,26.1,42.3,11.4,39.6,61.6,100,28.9,100,2,1,,Aysén,Sur,2015-06-20
52,2015.0,312,3,12.0,Chiloé islas pequeñas,27-6-2015,27,6,2015,6,Estreno,Prime,22:21,23:25,1:04:00,1,10.9,18.2,6.2,20.9,5.2,8.7,1.2,3.9,12.8,21.2,4.1,13.7,8.5,14.1,3.1,10.3,26.5,44.1,13.2,44.3,60.1,100,29.9,100,2,1,,Los Ríos,Sur,2015-06-27
53,2015.0,313,3,13.0,"Coyhaique 2 (Cochrane, cóndor y huemul)",11-7-2015,11,7,2015,6,Estreno,Prime,22:00,23:11,1:11:00,3,8.4,12.5,4.0,12.3,6.4,9.5,2.6,8.0,14.3,21.2,5.2,16.2,12.9,19.2,4.5,13.8,30.8,45.7,14.1,43.8,67.4,100,32.3,100,3,3,,Aysén,Sur,2015-07-11
54,2015.0,314,3,14.0,Costa Osorno,18-7-2015,18,7,2015,6,Estreno,Prime,22:21,23:33,1:12:00,3,8.6,13.7,3.2,10.3,7.4,11.8,3.3,10.5,13.9,22.1,4.6,14.4,10.5,16.8,3.6,11.5,27.2,43.4,14.8,46.9,62.7,100,31.7,100,3,4,,Los Lagos,Sur,2015-07-18
55,2015.0,315,3,15.0,Ramal Talca - Constitución,25-7-2015,25,7,2015,6,Estreno,Prime,22:23,23:37,1:14:00,3,11.0,17.1,4.0,14.1,5.7,8.8,3.1,11.0,16.1,24.9,4.0,13.8,10.3,16.0,3.0,10.7,27.3,42.1,11.7,41.0,64.7,100,28.6,100,2,1,,Maule,Centro,2015-07-25
56,2015.0,316,3,16.0,Quintero,1-8-2015,1,8,2015,6,Estreno,Prime,22:21,23:34,1:13:00,3,11.3,17.7,4.1,12.8,6.5,10.1,2.0,6.3,15.2,23.6,6.9,21.5,9.6,15.0,3.8,11.9,26.3,40.9,13.6,42.3,64.2,100,32.0,100,2,2,,Valparaíso,Centro,2015-08-01
57,2015.0,317,3,17.0,Costa Maule (Iloca),8-8-2015,8,8,2015,6,Estreno,Prime,22:46,0:03,1:17:00,3,13.7,21.1,5.4,17.5,3.8,5.9,1.3,4.1,17.6,27.2,7.0,22.5,9.2,14.2,3.4,11.1,26.4,40.6,11.5,37.3,65.0,100,30.9,100,2,2,,Maule,Centro,2015-08-08
